date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
10/10/2002 06:00,seattle,wa,us,sphere,90,90 seconds,Light falls from sky,10/15/2002,47.6063889,-122.3308333
10/10/2005 07:40,seattle,wa,us,other,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005,47.6063889,-122.3308333
10/10/2008 20:00,seattle,wa,us,light,180,3 minutes,Around 8:00 pm? I Went out side and looked up at the stars and I saw a light which I thought was a small faded star  until it started t,10/31/2008,47.6063889,-122.3308333
10/11/2007 19:50,seattle,wa,us,triangle,10,10 seconds,I saw two orange colored lights&#44 close together but moving independently across the sky&#44 at high rate of speed. Then they disappeared.,11/28/2007,47.6063889,-122.3308333
10/1/2001 01:05,seattle,wa,us,NA,1,1 sec,just a meteor sighting...,10/12/2001,47.6063889,-122.3308333
10/1/2002 05:35,seattle,wa,us,unknown,1,a second?,On the morning of 10/01/02 I was driving to work on HI5 in Seattle Wa. and I was south bound by the old Rainier Brewery and saw a brigh,10/15/2002,47.6063889,-122.3308333
10/1/2002 05:42,seattle,wa,us,teardrop,3,3 seconds,Initially a comet in appearance&#44 but speed was too slow.,10/15/2002,47.6063889,-122.3308333
10/1/2002 05:43,seattle,wa,us,other,2,2 seconds,I saw a green object above Seattle&#44 at about 5:45 AM on 10/1&#44 occuring at the time of a northern lights display.,10/15/2002,47.6063889,-122.3308333
10/1/2006 20:34,seattle,wa,us,teardrop,12,12 seconds,Very large yellow teardrop-shaped disk or meteor dropping several or many miles East of Seattle&#44 Washington - watched for 12-14 seconds,10/30/2006,47.6063889,-122.3308333
10/1/2006 21:00,seattle,wa,us,light,20,20 seconds,A VERY bright and transluscent light that seemed to glow more than create a shape hovered above Lake Washington (so it seemed) in the W,10/30/2006,47.6063889,-122.3308333
10/13/2007 23:00,seattle,wa,us,unknown,7200,over 2 hours,Distant dancing light in the sky southeast of Seattle for prolonged time,11/28/2007,47.6063889,-122.3308333
10/15/1999 20:15,seattle,wa,us,chevron,60,1 minute,4 lights in chevron-shape&#44 crossed north t south on clear night sky.  Lost sight of&#44 then shape came back south to north&#44 very fast.,10/19/1999,47.6063889,-122.3308333
10/15/2001 20:22,seattle,wa,us,circle,5,5 seconds,i saw a large flaming blue sphere west of seattle,11/20/2001,47.6063889,-122.3308333
10/15/2001 22:00,seattle,wa,us,fireball,5,evening hour,green fireball ocross nite sky,11/20/2001,47.6063889,-122.3308333
10/15/2002 07:30,seattle,wa,us,rectangle,120,2 minutes,Dark rectangle&#44 almost a cube; no lights&#44 no sound&#44 no wings&#44 no reflective surface&#44 seen in daylight,11/4/2002,47.6063889,-122.3308333
10/15/2005 22:00,seattle,wa,us,cylinder,90,1.5 min,Cylindrical object hovering past my car at close range,4/27/2007,47.6063889,-122.3308333
10/15/2009 22:00,seattle,wa,us,light,300,3 - 5 minutes,A flying light in Seattle to the west of the aurora bridge,12/12/2009,47.6063889,-122.3308333
10/17/2002 19:13,seattle,wa,us,unknown,3,2-3 sec.,Peculiar&#44 shapeless object with several distinct lights seen streaking over Greenlake Park in Seattle.,10/28/2002,47.6063889,-122.3308333
10/18/2000 20:45,seattle,wa,us,circle,15,10 to 15 seconds,If there are a such of things as green meteors&#44 then there must be little green  leprechauns driving them.,12/2/2000,47.6063889,-122.3308333
10/19/2010 18:30,seattle,wa,us,light,5,5 seconds,A moment later I looked up again and saw two lights (only slightly smaller and less bright than the planet) below Jupiter.,11/21/2010,47.6063889,-122.3308333
10/20/1999 01:30,seattle,wa,us,sphere,300,3 to 5 minutes,11/20/99 1:30am purple glowing sphere moves in a straight line across a clear starry quarter moon night.,3/16/2001,47.6063889,-122.3308333
10/21/2006 07:10,seattle,wa,us,triangle,30,30 seconds,Gigantic triangle flys over Seatac and makes hard left turn.,10/30/2006,47.6063889,-122.3308333
10/21/2011 06:59,seattle,wa,us,unknown,120,2 min,Stationary object&#44 Very brightlights&#44 swooped to the NW into a fog bank.,10/25/2011,47.6063889,-122.3308333
10/22/2011 15:00,seattle,wa,us,other,180,3 minutes,Unfathomable beauty in the sky in the form of something which I cannot explain,10/25/2011,47.6063889,-122.3308333
10/23/2000 21:45,seattle,wa,us,light,3,3 seconds,Very clear night. I saw what I thought was a largish shooting star falling south to north &#44 as it decended from a little under the airp,12/2/2000,47.6063889,-122.3308333
10/23/2000 21:55,seattle,wa,us,sphere,2,2 seconds,blue ball streaks across seattle skyline heading west in under 2 seconds,12/2/2000,47.6063889,-122.3308333
10/23/2003 21:00,seattle,wa,us,unknown,3,3 seconds,&quot;W&quot; shaped meteor burns up above Seattle,10/31/2003,47.6063889,-122.3308333
10/23/2003 21:18,seattle,wa,us,cone,12,10-12 seconds,It was a red and green coneshaped object that flashed briefly across the night sky.,10/31/2003,47.6063889,-122.3308333
10/23/2003 21:40,seattle,wa,us,circle,10,10 seconds,A bright white circular object moving quickly from north to south.,10/31/2003,47.6063889,-122.3308333
10/24/2004 17:00,seattle,wa,us,cylinder,300,5 minutes,A bending black rod hovering over First Hill&#33,11/2/2004,47.6063889,-122.3308333
10/25/2000 20:30,seattle,wa,us,triangle,2700,45 minutes,Sparkling contrails in triangle pattern.,12/2/2000,47.6063889,-122.3308333
10/25/2008 07:30,seattle,wa,us,light,60,1:00,Star like light moving in a zig zag pattern,10/31/2008,47.6063889,-122.3308333
10/25/2011 23:00,seattle,wa,us,light,60,about 1 minute,Star-like light with humanly incapable flight pattern,1/12/2012,47.6063889,-122.3308333
10/26/1998 18:15,seattle,wa,us,fireball,3,2-3 seconds,FIREBALL CAME STRAIGHT DOWN FROM THE SKY&#44 IT HAD A TAIL GOING STRAIGHT UP LASTED 2 TO 3 SECONDS AND DISAPPEARED.,11/1/1998,47.6063889,-122.3308333
10/26/2007 18:55,seattle,wa,us,formation,5,3-5 seconds,Bright object falling from sky towards Seattle airport 10/26/07,11/28/2007,47.6063889,-122.3308333
10/26/2009 03:30,seattle,wa,us,unknown,2400,40 min,Two craft hovering in the sky above north seattle,12/12/2009,47.6063889,-122.3308333
10/27/2000 10:30,seattle,wa,us,oval,30,30 seconds,Shiny gold/black large balloon like object travelling up Puget Sound WA w/ consistent altitude,12/2/2000,47.6063889,-122.3308333
10/29/2006 20:00,seattle,wa,us,sphere,5,5 seconds,Blue-ish sphere with white trail seen traveling north to south Sunday 8PM October 29&#44 2006.,12/7/2006,47.6063889,-122.3308333
10/30/1995 23:30,seattle,wa,us,NA,1800,30 min.,Woman rpts peculiar bright obj. in NW sky&#44 45 deg. above horizon.  (Reported 02NO95 obj. was not present on subsequent nights.),11/2/1999,47.6063889,-122.3308333
10/30/2004 04:00,seattle,wa,us,formation,30,30 seconds,Flying v-formation of glowing orb-like craft.,11/2/2004,47.6063889,-122.3308333
10/31/2002 07:45,seattle,wa,us,light,300,five minuets,Small bright light around north face of Mt. Rainier,11/4/2002,47.6063889,-122.3308333
10/31/2003 03:40,seattle,wa,us,unknown,1200,15-20 minutes,Strange hovering and engineless jet noises too near for comfort.,10/31/2003,47.6063889,-122.3308333
10/31/2003 07:30,seattle,wa,us,light,15,10-15 seconds,a steaking light in the bright morning sky,11/11/2003,47.6063889,-122.3308333
10/31/2004 00:00,seattle,wa,us,fireball,10,10 seconds,3 of us were standing out on my deck halloween nite. we were talking about telescopes. I started to point at a star in the clear nite s,12/3/2004,47.6063889,-122.3308333
10/31/2004 08:00,seattle,wa,us,light,10,.10,103104 Bright Light,12/3/2004,47.6063889,-122.3308333
10/31/2004 20:00,seattle,wa,us,light,15,15 seconds,single light going away,12/3/2004,47.6063889,-122.3308333
10/31/2006 10:30,seattle,wa,us,unknown,1800,30minutes,Strange objects in the morning sky over Seattle - on Halloween.  ((NUFORC Note:  A contrail&#44 we believe.  PD)),12/7/2006,47.6063889,-122.3308333
10/31/2011 19:15,seattle,wa,us,fireball,120,2 minutes,Glowing orange orb flying North to South across Lake Washington 10/31/2011,12/12/2011,47.6063889,-122.3308333
10/3/1999 21:45,seattle,wa,us,teardrop,10,10 secs.,An eliptical-teardrop shaped object travelling approx.15-20 degrees above the horizon&#44 from SE to NW in a horizontal position  along Se,10/19/1999,47.6063889,-122.3308333
10/3/2010 22:30,seattle,wa,us,fireball,60,1 minute,Fireball above Puget Sound,11/21/2010,47.6063889,-122.3308333
10/4/2005 01:00,seattle,wa,us,other,2,a few seconds,6 dimly lit orbs travelint at a high speed,12/16/2005,47.6063889,-122.3308333
10/4/2008 20:00,seattle,wa,us,light,1,1 sec,Boeing Airfield,10/31/2008,47.6063889,-122.3308333
10/4/2013 00:20,seattle,wa,us,teardrop,3,3 seconds,Stingray shaped object with red lights.,10/14/2013,47.6063889,-122.3308333
10/4/2013 22:20,seattle,wa,us,oval,600,10 minutes,Sighting of two orange reddish objects&#44 north of Puget Sound in Seattle,10/14/2013,47.6063889,-122.3308333
10/6/2000 10:50,seattle,wa,us,sphere,5,3-5 seconds,Observed a round&#44 metallic object proceeding west or SW at apparent high rate of speed--object appeared to dissappear after 3-5 seconds,12/2/2000,47.6063889,-122.3308333
10/7/2009 20:10,seattle,wa,us,other,10,10 sec,brief sighting of object with faint amber lights traveling over Seattle,12/12/2009,47.6063889,-122.3308333
11/11/1966 02:00,seattle,wa,us,disk,120,2 minutes,Driving around after swingshift to relax. Drove by familiar watertower; a red&#44 flashing light caught my eye--to bright for the tower li,2/16/1999,47.6063889,-122.3308333
11/11/2011 03:30,seattle,wa,us,light,900,10-15 min,5 red lights flying north,12/12/2011,47.6063889,-122.3308333
1/11/2004 16:00,seattle,wa,us,oval,20,20 seconds,Oval craft seen flying over Lake Washington on 01/11/04 at 4:00 pm.,1/17/2004,47.6063889,-122.3308333
11/1/2006 12:57,seattle,wa,us,other,600,10 minutes,Fighter type UFO over Seattle details on its shape clearly visible with ordinary binoculars,12/7/2006,47.6063889,-122.3308333
11/1/2012 20:45,seattle,wa,us,light,120,<2 minutes,Lights heading for a collision in the sky over Seattle,11/19/2012,47.6063889,-122.3308333
11/12/1997 17:30,seattle,wa,us,light,8,8 seconds,Looked up in the sky in a S-SW direction.  Noticed 2 &quot;stars&quot; that were moving together at the same speed.  They traveled for about 3 se,1/28/1999,47.6063889,-122.3308333
11/12/2005 00:45,seattle,wa,us,other,3,3 seconds,Disc shaped&#44 blue and white coloured object slicing the sky very quickly.,12/16/2005,47.6063889,-122.3308333
11/14/1997 21:00,seattle,wa,us,formation,8,5-8 seconds,Siting at stop light on Alaskan Way&#44 heading west.  Streaks of lights came flying across the sky&#44 coming from over the Puget Sound.  Th,1/28/1999,47.6063889,-122.3308333
11/14/2011 20:05,seattle,wa,us,fireball,60,< 1 minute,Reddish/Orange light seen over Seattle&#44 WA,12/12/2011,47.6063889,-122.3308333
11/15/2008 18:20,seattle,wa,us,fireball,1800,25-30 minutes,Flaming ball moves slow and turns on a dime,12/12/2009,47.6063889,-122.3308333
11/15/2011 19:35,seattle,wa,us,sphere,2,2 seconds,Orange sphere appears and skirts across the sky,12/12/2011,47.6063889,-122.3308333
11/17/1995 23:00,seattle,wa,us,NA,10800,3 hrs.,Man repts. witnessing peculiar red and blue flashes over Seattle.  One flash filled 180 deg. of sky w/ red light.  Observed an orb.,11/2/1999,47.6063889,-122.3308333
11/17/1995 23:00,seattle,wa,us,NA,10800,3 hrs.,Young woman repts. witnessing multiple &quot;flashes of red and blue light&quot; in and above the clouds.  Were to the NE of Capitol Hill.,11/2/1999,47.6063889,-122.3308333
11/17/1995 23:30,seattle,wa,us,NA,1200,20 min.,Young woman in Seattle Univ. dormitory sees bizarre&#44 pronounced red&#44 pink&#44 blue intense&#44 multiple flashes of light in clouds to east.,11/2/1999,47.6063889,-122.3308333
11/17/1995 23:30,seattle,wa,us,NA,2280,38 min.,2nd Seattle Univ. student calls to report remarkable &quot;pink and &quot; blue flashing lights in&#44 or above the clouds.,11/2/1999,47.6063889,-122.3308333
11/18/2001 02:00,seattle,wa,us,triangle,10,8 to 10 seconds,Three dark orange objects flew quickly across the sky at about 2:00 AM (approx) during the Leonid meteor shower.,11/20/2001,47.6063889,-122.3308333
11/18/2001 02:22,seattle,wa,us,other,20,20 seconds,Slow-flying crescent made up of lots of little balls flies over downtown Seattle,11/20/2001,47.6063889,-122.3308333
11/18/2001 02:30,seattle,wa,us,circle,90,90 seconds,Two yellow-amber spheres; one disappeared slowly&#44 the other changed direction&#44 stopped&#44 &amp; vanished.,11/20/2001,47.6063889,-122.3308333
11/19/2008 22:15,seattle,wa,us,light,10,10 seconds,Blue/green light falling from the sky (NE) viewed from West Seattle,1/10/2009,47.6063889,-122.3308333
1/1/1972 16:00,seattle,wa,us,triangle,30,30 sec.,Man reports sighting in l972 or 1973.  Heard woman scream&#44 turned&#44 and saw large triangular ship in sky.,11/2/1999,47.6063889,-122.3308333
1/1/1992 00:00,seattle,wa,us,other,120,2 min,I and a witness saw a black helicopter like object in a very populated area af Seattle Wa&#44 got a good long look at it but it was night.,12/9/2003,47.6063889,-122.3308333
1/1/1996 23:00,seattle,wa,us,sphere,20,20 seconds,saw circle in lightning,10/31/2003,47.6063889,-122.3308333
1/1/2008 17:15,seattle,wa,us,changing,75,1 minute 15 sec,Bright flying object over the puget sound,1/21/2008,47.6063889,-122.3308333
11/20/1998 22:25,seattle,wa,us,flash,600,~10 minutes,Bright&#44 multi-colored (mostly green and blue&#44 but some red) flashes across the eastern horizon.,1/28/1999,47.6063889,-122.3308333
11/21/2008 19:30,seattle,wa,us,unknown,720,10-12 minutes,Slow red strobe light&#44 static in position&#44 high above air traffic,1/10/2009,47.6063889,-122.3308333
11/23/2000 01:03,seattle,wa,us,light,4,4 sec,the light looked bright white round golf ball size when above me&#44 but became a flattened horizontal band of five lights as it moved rap,12/2/2000,47.6063889,-122.3308333
11/23/2003 22:30,seattle,wa,us,NA,5,5 seconds,Freak Seattle lightning strike on or about 11/23&#44 similar event in other west coast locations.,12/9/2003,47.6063889,-122.3308333
11/27/1996 19:30,seattle,wa,us,NA,5,5 sec.,Woman reports witnessing a distinctly green flash of light&#44 followed by a second identical flash.  Very strange in appearance.,11/2/1999,47.6063889,-122.3308333
1/13/1983 17:00,seattle,wa,us,sphere,600,10 minutes,An orange ball over Seattle left a stream of fluid along its path. Looking through the fluid the stars behind it were greatly magnified,8/30/1999,47.6063889,-122.3308333
11/3/2000 00:45,seattle,wa,us,light,3,2-3 seconds,Bright&#44 star-like&#44 floating object descending in western sky.,12/2/2000,47.6063889,-122.3308333
11/3/2001 17:35,seattle,wa,us,other,2,2 and a half to 3 seconds,Glowing bright orange&#44 looked as though it was gliding.,12/5/2001,47.6063889,-122.3308333
1/13/2007 03:00,seattle,wa,us,light,2700,30-45 minutes,Brilliant chartreuse green flashing beam&#44 within a ring of bright red lights in Puget Sound.  ((NUFORC Note:  Sirius??  PD)),2/1/2007,47.6063889,-122.3308333
11/4/1997 20:45,seattle,wa,us,light,2,1to2 seconds,Seen in the SE sky over chuch&#44 bright light too big to be a star&#44it was complety still. then in split second disappaered going SW at sp,1/28/1999,47.6063889,-122.3308333
11/4/2003 01:14,seattle,wa,us,light,6,6 seconds,This was a meteor sighting. It was very bright&#44 and broke in two after a few seconds.,11/8/2003,47.6063889,-122.3308333
11/4/2004 01:15,seattle,wa,us,light,7200,2+ hours,Very unusual &quot;star&quot; to the SE Seattle sky  ((NUFORC Note:  Venus??  PD)),11/9/2004,47.6063889,-122.3308333
11/5/2004 16:15,seattle,wa,us,triangle,2,several seconds,Triangle UFO in Seattle U-district,11/9/2004,47.6063889,-122.3308333
11/5/2011 23:00,seattle,wa,us,sphere,5,5 sec,2 orange balls traveling far faster than any jet in straight line with no sound.,12/12/2011,47.6063889,-122.3308333
1/17/1995 23:07,seattle,wa,us,NA,2700,45 min.,Woman reports unusual blue lights.  (Probably lights on neighbor&#39s radio antenna&#44 she later reported.),11/2/1999,47.6063889,-122.3308333
11/7/1996 23:30,seattle,wa,us,sphere,7,7 sec.,Dimly lit group of colored objects hovering over the Woodland Park Zoo emitting light beams similar to spotlights.I was walking my,3/7/1998,47.6063889,-122.3308333
11/7/2001 20:30,seattle,wa,us,formation,30,20-30 seconds,V-Formation over West Seattle,11/20/2001,47.6063889,-122.3308333
11/7/2004 23:20,seattle,wa,us,triangle,5,5 sec.,Bizarre object observed during dramatic display of aurora borealis.,11/9/2004,47.6063889,-122.3308333
11/7/2004 23:42,seattle,wa,us,triangle,30,30seconds,a clearly triangular thing with glowing circles on the bottom orange all around and perfect,11/9/2004,47.6063889,-122.3308333
1/18/2010 20:15,seattle,wa,us,light,120,2 minutes,Bright&#44 flickering orange light,2/14/2010,47.6063889,-122.3308333
1/18/2011 05:45,seattle,wa,us,disk,30,30 seconds,UFO briefly hovers over Seattle&#44 then disappears in a straight upward movement.,1/31/2011,47.6063889,-122.3308333
11/9/2008 22:03,seattle,wa,us,fireball,40,40 seconds,((HOAX??))  Bight light seen northwest of downtown Seattle.,1/10/2009,47.6063889,-122.3308333
11/9/2009 21:00,seattle,wa,us,triangle,120,2 min,UFO in Seattle,12/12/2009,47.6063889,-122.3308333
12/11/1997 19:15,seattle,wa,us,light,3,3 seconds,Extremely rapid&#44 silent&#44 non-streaking bright light moving from north to south at probably 15 to 25 degrees along the eastern horizon a,3/7/1998,47.6063889,-122.3308333
12/1/2004 05:00,seattle,wa,us,cylinder,600,10 min,heading north to south&#44 was a strobe light&#44dissapeared in clouds.,12/3/2004,47.6063889,-122.3308333
12/1/2012 11:35,seattle,wa,us,oval,60,1 minute,Oval craft seen flying over lake washington towards Seattle.,12/20/2012,47.6063889,-122.3308333
12/13/2004 22:15,seattle,wa,us,NA,2,2 seconds,Hi Mr. Davenport: Just spoke to you about the &#8220;meteorite&#8221; that I saw or think I saw last night&#44Dec. 13&#44 2004 at approximately 10:15 to,12/14/2004,47.6063889,-122.3308333
12/14/2004 22:20,seattle,wa,us,NA,2,2 seconds,Hi again Mr. Davenport:  I wanted to let you know that I spoke to my brother in law&#44 who is a ferry boat captain on the North Vashon Is,1/11/2005,47.6063889,-122.3308333
12/15/2002 23:59,seattle,wa,us,disk,30,one hour +,We saw a row of different colored lights north of house&#44 some distance away for at least an hour.,12/23/2002,47.6063889,-122.3308333
12/16/2011 20:00,seattle,wa,us,sphere,10,10 seconds,Orange Orb over Magnolia/Discovery Park,12/17/2011,47.6063889,-122.3308333
12/17/1996 06:15,seattle,wa,us,NA,4,4 sec.,Young man sees &quot;yellow tinged fireball with neon green tail&quot; streak from E to W in N sky.  Tail was curving down&#44 and oddly green.,11/2/1999,47.6063889,-122.3308333
12/17/1996 06:20,seattle,wa,us,NA,3,3 sec.,Seattle METRO bus driver on Hwy. I-5 sees blue-green obj. streaking E to W just above buildings in Seattle.  Thought it was close.,11/2/1999,47.6063889,-122.3308333
12/17/1998 22:00,seattle,wa,us,light,4,3-4 sec.,Definitely a meteor&#44 IMHO. steady white light&#44 falling roughly parabolically ~ENE of me. Lasted about 3-4 seconds.,1/28/1999,47.6063889,-122.3308333
12/18/2003 18:45,seattle,wa,us,fireball,3,3 seconds,Fireball falling from the sky. Could have been a plane crashing.,12/19/2003,47.6063889,-122.3308333
12/19/1996 22:45,seattle,wa,us,NA,30,30 sec.,Man repts. black&#44 round obj. passing from S to N below solid clouds in W sky. No lights&#44 silent&#44 smaller than moon. Aircraft landing S.,11/2/1999,47.6063889,-122.3308333
1/2/1999 17:42,seattle,wa,us,light,4,4 seconds (observed),Walking around Greenlake on paved trail. Saw bright white light on a 3deg downward path across lake from south to north. Approx 1500ft,5/24/1999,47.6063889,-122.3308333
1/2/2005 03:40,seattle,wa,us,light,2700,45 minutes,Two objects with pulsating lights in Seattle over Puget Sound.,1/11/2005,47.6063889,-122.3308333
1/2/2005 17:18,seattle,wa,us,light,240,3-4 minutes,white light similar to satellite traveling high over Seattle,1/11/2005,47.6063889,-122.3308333
1/2/2007 00:00,seattle,wa,us,fireball,30,30sec.,((HOAX))  it was really fast&#44 faster then any airplane. It was red&#44 made a microwave sound. Thats it&#44 because I was drunk.,6/12/2007,47.6063889,-122.3308333
1/2/2007 18:45,seattle,wa,us,light,2400,40 min,Random White Lights circling over West Seattles Admiral District.  ((NUFORC Note:  We suspect advertising lights.  PD)),2/1/2007,47.6063889,-122.3308333
1/2/2013 01:45,seattle,wa,us,light,900,15 minutes,Glowing light hovering over north Seattle.,2/4/2013,47.6063889,-122.3308333
12/20/1978 18:00,seattle,wa,us,disk,600,5-10 minutes,UFO Sighting in December 1978 in Seattle&#44 WA.,1/22/2004,47.6063889,-122.3308333
12/21/2013 18:43,seattle,wa,us,oval,300,4-5 minutes,On the date and time stated above&#44 I had just come from the grocery store and was exiting my vehicle. While walking across the parking.,2/27/2014,47.6063889,-122.3308333
1/22/1995 20:00,seattle,wa,us,NA,5,5 sec.,Man witnesses triangular obj. w/ dull&#44 or &quot;subdued&quot; lights streak overhead.,11/2/1999,47.6063889,-122.3308333
12/2/2009 03:24,seattle,wa,us,fireball,10,5-10 seconds,Bright hot object leaving trail over Seattle in early morning of December 2nd&#44 2009,12/12/2009,47.6063889,-122.3308333
12/22/2008 16:25,seattle,wa,us,circle,60,1 minute,Today&#8217;s date is 12/22/2008.  At 4:25 pm.  I observed &#8216;three&#8217; flying objects from my kitchen window.  The first object flew by&#44 from Sou,1/10/2009,47.6063889,-122.3308333
12/22/2012 22:15,seattle,wa,us,oval,180,3 minutes,Orange glowing oval of light,2/4/2013,47.6063889,-122.3308333
12/23/2000 20:00,seattle,wa,us,NA,360,1-6 min,cop car lights at 500 to 1000  feet above seattle.,1/3/2001,47.6063889,-122.3308333
12/24/1994 01:39,seattle,wa,us,light,20,20 sec.,Man witnesses very bright&#44 multi-colored object pass overhead very fast.  Disappeared to the north in 20 sec..,11/2/1999,47.6063889,-122.3308333
12/24/2013 20:40,seattle,wa,us,sphere,240,4 minutes,Orange spheres/orbs over Seattle.,1/10/2014,47.6063889,-122.3308333
12/26/2011 02:17,seattle,wa,us,fireball,180,3 minutes,3 orange orbs or fireballs fly in formation over Seattle (Capitol Hill/Madison Valley) on December 26&#44 2011 at around 2:17 AM.,1/12/2012,47.6063889,-122.3308333
