date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude
12/29/2010 07:40,seattle,wa,us,light,900,15 min,Bright Light with Tail SSE travel over N.W Region US 7:40 AM 12/29/2010,1/5/2011,47.6063889,-122.3308333
12/30/1995 01:00,seattle,wa,us,NA,900,15 min.,Woman&#39s attention drawn to very faint light over Puget Sound.  Obj. grows brighter&#44 then suddenly moves to W and disappears.,11/2/1999,47.6063889,-122.3308333
12/31/2010 16:26,seattle,wa,us,circle,120,2 min.,This U.F.O. was similar to other reported ufo&#39swas extremely,1/5/2011,47.6063889,-122.3308333
12/31/2011 23:52,seattle,wa,us,circle,300,5 minutes,8-10 orange UFO&#39s sited New Years Eve&#44 just before midnight in Seattle.,1/24/2012,47.6063889,-122.3308333
1/23/1995 06:15,seattle,wa,us,NA,30,30 sec.,Man calls to report he &amp; wife witnessed metallic disc hovering just above Pug. Sound. Streaks off. (No 2nd call),11/2/1999,47.6063889,-122.3308333
1/23/2007 20:55,seattle,wa,us,light,4,3 to 4 seconds,Two red balls of light heading East to West over Seattle on converging paths.,2/1/2007,47.6063889,-122.3308333
1/23/2008 02:00,seattle,wa,us,teardrop,180,3 minutes,Teardrop-shaped&#44 pulsating&#44 hovering object seen over water,2/14/2008,47.6063889,-122.3308333
12/4/1995 02:14,seattle,wa,us,light,2,2 sec.,Man reports a brief power failure&#44 looks outside and witnesses a luminous obj.&#44 size of star&#44 streak from W to E in southern sky.,11/2/1999,47.6063889,-122.3308333
1/24/2014 19:00,seattle,wa,us,light,3600,1 hour,Object appeared near the Orion; cycling through a number of colors.  ((NUFORC Note:  Probably Sirius?  PD)),1/30/2014,47.6063889,-122.3308333
1/24/2014 21:30,seattle,wa,us,light,60,60 seconds,Spot of light zig-zagging over Seattle.,1/30/2014,47.6063889,-122.3308333
12/5/1996 22:00,seattle,wa,us,NA,30,30 sec.,Man looking W over Pug. Sound from high-rise apt. sees large &quot;flattened oval of red/orange light&quot; arch across sky in perfect arc.,11/2/1999,47.6063889,-122.3308333
1/25/2001 22:33,seattle,wa,us,fireball,1,one secaond,While driving noth on I-5 I observed the white fireball dropping out of the sky as I looked in the direction over northeast Seattle.  I,2/18/2001,47.6063889,-122.3308333
1/26/2000 19:37,seattle,wa,us,fireball,15,8to15sec.,Driving to a meeting in Seattle Capitol Hill area&#44 s. bound I-5 exited at Roanoke&#44 I was stopped at light to turn&#44 very clear winter ni,3/16/2000,47.6063889,-122.3308333
1/27/2007 17:30,seattle,wa,us,disk,1200,20 min,Black disk with red lights flys over the seattle area.,2/1/2007,47.6063889,-122.3308333
12/8/1999 17:40,seattle,wa,us,light,5,5sec,intense blue light travelling se across entire sky,12/16/1999,47.6063889,-122.3308333
1/28/2007 20:00,seattle,wa,us,oval,2,a few seconds,UFO streaks across the night sky,2/1/2007,47.6063889,-122.3308333
1/3/1995 21:55,seattle,wa,us,NA,0.5,0.5 second,Couple sees &quot;meteor&quot; streak from south to north&#44 but turned suddenly. Very fast.,11/2/1999,47.6063889,-122.3308333
1/3/2008 15:00,seattle,wa,us,unknown,300,5min,Abduction,1/21/2008,47.6063889,-122.3308333
1/5/1995 09:50,seattle,wa,us,light,5,5 seconds,MUFON member witnesses very bright light during daylight hours for 5 sec..  Appears 2nd time&#44 disappears.,11/2/1999,47.6063889,-122.3308333
1/5/1999 05:36,seattle,wa,us,teardrop,3,3 seconds,The object was approximatly equal in size to 1/4 full moon.  It was travelling from NW to SE approximately 500 feet over Lake Union. Th,2/16/1999,47.6063889,-122.3308333
1/5/2001 17:30,seattle,wa,us,sphere,60,1 minute,I was walking home from work&#44 and was within a block from home. I looked up and saw a object&#44 very quiet&#44 and I was wondering what kind,2/18/2001,47.6063889,-122.3308333
1/5/2013 06:10,seattle,wa,us,circle,5,5 seconds,Lights over Aurora.,2/4/2013,47.6063889,-122.3308333
1/7/2001 15:26,seattle,wa,us,light,120,2min,Ravena St and I5 two men were looking at the sky and pointing up&#44 i believed they were bird watching&#44but i realized they were pointing,2/18/2001,47.6063889,-122.3308333
1/9/2010 19:00,seattle,wa,us,cylinder,60,1 minute,Reviewing my photos I came across a suspicious object in the upper right corner and it way flying at an odd angle. Too steep for a plan,2/14/2010,47.6063889,-122.3308333
2/10/1995 24:00,seattle,wa,us,NA,30,30 sec,Woman&#44 out walking dog&#44 sees bright bluish light rise from Pug. Sound&#44 turn&#44 then zip off.  No sound. Good rept.,11/2/1999,47.6063889,-122.3308333
2/10/2001 00:10,seattle,wa,us,circle,5,5 sec.,Looking straight up&#44 I saw a rectangular object with only a faint outline travelling East to West&#44 no noise&#44 no flashing lights but dim,2/18/2001,47.6063889,-122.3308333
2/10/2006 17:25,seattle,wa,us,unknown,120,1-2 minutes,Object with rows of very bright&#44 clear lights around perimeter hovering silently 1-2 minutes before exiting.,3/11/2006,47.6063889,-122.3308333
2/10/2006 17:30,seattle,wa,us,cylinder,120,2 minutes,Cylindrical object with 3-4 rows of bright lights &amp; vapor between ground &amp; object  hovering silently at 500-1000&#39 above ground.,3/11/2006,47.6063889,-122.3308333
2/11/2002 22:10,seattle,wa,us,fireball,1,1 second,Falling Object,2/22/2002,47.6063889,-122.3308333
2/11/2003 01:20,seattle,wa,us,other,3,2-3 seconds,Blue beam of light in my face....from the sky.,2/11/2003,47.6063889,-122.3308333
2/1/2012 11:45,seattle,wa,us,unknown,5,5 seconds,Falling Unidentified metallic object with trail,2/10/2012,47.6063889,-122.3308333
2/12/2003 18:00,seattle,wa,us,cylinder,15,10-15 seconds,2-12-03 orange fiery/glowing circular object flying above tree level  watched for about 10 seconds in Shoreline Washington,2/25/2003,47.6063889,-122.3308333
2/12/2010 06:00,seattle,wa,us,triangle,10,10 seconds,I saw a dark triangular object with lights around it and there was golden light emerging from the craft,11/21/2010,47.6063889,-122.3308333
2/12/2010 20:35,seattle,wa,us,light,45,45 seconds,Blue Green object streaking across the sky,2/14/2010,47.6063889,-122.3308333
2/13/2004 06:15,seattle,wa,us,fireball,45,45 seconds,Fireball near the beach on Vashon Island,3/2/2004,47.6063889,-122.3308333
2/15/2005 15:00,seattle,wa,us,other,300,5 minutes,Middle February&#44 2002&#44 3:00 pm&#44 sunny day&#44 black object east of Seattle&#44 moving erratically within a limited area.,5/11/2005,47.6063889,-122.3308333
2/15/2013 20:15,seattle,wa,us,circle,600,10 minutes,My wife and I witnessed 15-20 orb shaped lights heading south and gaining elevation over north Seattle.,2/18/2013,47.6063889,-122.3308333
2/16/2000 21:05,seattle,wa,us,light,90,1.5 min,Bright star disappeared from sight.,2/23/2000,47.6063889,-122.3308333
2/16/2004 22:05,seattle,wa,us,rectangle,60,1 minute,&#39burning paper&#39,3/2/2004,47.6063889,-122.3308333
2/18/1999 16:30,seattle,wa,us,unknown,10,5-10 seconds,Seen from I-5&#44 over Boeing Field&#44 a motionless object that looked like a bunch of black and grey party balloons.,4/2/1999,47.6063889,-122.3308333
2/19/1995 19:00,seattle,wa,us,NA,10800,3 hrs.,Nat. UFO Center Director makes 3 hour appearance on national radio program.   Multiple calls follow for 2 days.,11/2/1999,47.6063889,-122.3308333
2/21/2008 24:00,seattle,wa,us,disk,6,6 seconds,Disk shaped object seen by Seattle drivers over I5,3/4/2008,47.6063889,-122.3308333
2/2/2000 19:49,seattle,wa,us,other,120,aprox. 2 min,Watched two flying objects headed NW&#44 very low&#44 very slow&#44 at junction of Duamish River and West Seattle Bridge.,2/16/2000,47.6063889,-122.3308333
2/2/2000 19:49,seattle,wa,us,other,180,3 min,Two Jumbo Jets flying low and slow.,2/16/2000,47.6063889,-122.3308333
2/2/2002 03:30,seattle,wa,us,sphere,15,15 seconds,Three dimly self-illuminated orange orbs travelling due West over Seattle,3/19/2002,47.6063889,-122.3308333
2/2/2011 21:00,seattle,wa,us,light,180,3 minutes,Vibrant Orange Lights jump in and out of the atmosphere over Seattle,3/13/2012,47.6063889,-122.3308333
2/2/2011 21:30,seattle,wa,us,fireball,120,2 minutes,Three orange lights over northeast Seattle,2/8/2011,47.6063889,-122.3308333
2/22/1995 05:37,seattle,wa,us,NA,4,4 sec.,Multiple calls regarding green obj. streaking NNW from Renton to Paine Field.  Low alt. (?)  One witness repts. it hovered.,11/2/1999,47.6063889,-122.3308333
2/24/2001 22:30,seattle,wa,us,chevron,180,2-3minutes,((NUFORC Note:  Cryptic report of a &quot;chevron.&quot;  No other details provided.  PD)),4/1/2001,47.6063889,-122.3308333
2/25/2009 11:09,seattle,wa,us,fireball,120,2 minutes,bright erratically moving light over south seattle.,3/19/2009,47.6063889,-122.3308333
2/25/2009 15:17,seattle,wa,us,oval,60,1 minute,A glowing orange elongated orb was seen by 2 men to be moving swiftly over Seattle&#44 Washington during daylight.,3/19/2009,47.6063889,-122.3308333
2/26/2014 13:00,seattle,wa,us,triangle,300,5 minutes,((NUFORC Note:  Witness provides no information.  Photos are of a &quot;sun dog&#44&quot; not a UFO.  PD)),2/27/2014,47.6063889,-122.3308333
2/27/2005 20:30,seattle,wa,us,light,60,1 minute,2 star-like ufos criss-cross near university of washington campus.,4/16/2005,47.6063889,-122.3308333
2/29/2004 23:20,seattle,wa,us,unknown,3300,55min+,Three rapidly sparkling objects hovering over Seattle to the WSW&#44 two left after short time&#44 one remained.  ((NUFORC:  Star??)),3/2/2004,47.6063889,-122.3308333
2/8/2000 19:07,seattle,wa,us,fireball,60,1 minute,Large glowing Red Firebell as I looked to the North/NorthEast from my home in Magnolia/Seattle.     So bright -- the light emanted into,2/16/2000,47.6063889,-122.3308333
2/9/1996 18:45,seattle,wa,us,NA,300,5 min.,Young man w/ neighbor witness bizarre multiple flashing lights in straight line over E horiz.. Obj. hovered&#44 moved&#44 then streaked off.,11/2/1999,47.6063889,-122.3308333
2/9/1997 13:45,seattle,wa,us,oval,240,4 minutes,Three objects over downtown Seattle&#44 early morning,1/31/2004,47.6063889,-122.3308333
2/9/2000 22:00,seattle,wa,us,circle,3,2-3 seconds,While stargazing&#44 a dark black object entered into my line of sight and headed toward the city. Very fluid and fast. No sound. A little,2/16/2000,47.6063889,-122.3308333
2/9/2013 22:55,seattle,wa,us,fireball,300,5 minutes,Red &quot;fireballs&quot; in the sky.,2/18/2013,47.6063889,-122.3308333
3/10/2001 17:57,seattle,wa,us,circle,600,10 mins,Dark Object in flight path of Airplanes heading south to King County Airport,3/16/2001,47.6063889,-122.3308333
3/1/1996 19:30,seattle,wa,us,NA,10,10 sec.,Woman walking dog&#44 witnesses a large&#44 oblong obj.&#44 very bright yellow-orange&#44 streak overhead at &quot;incredible speed.&quot;,11/2/1999,47.6063889,-122.3308333
3/1/2001 23:15,seattle,wa,us,circle,40,40 seconds,Bright circular light fell straight down&#44 had rectangular unlit form behind it.,3/6/2001,47.6063889,-122.3308333
3/12/2000 08:00,seattle,wa,us,cigar,6,5-6 seconds,Peter&#44 I was driving to Rentin to drop off my car at the Toyota Dealer.  I was headed south on on the freeway between I-90 and Rentin.,4/1/2000,47.6063889,-122.3308333
3/12/2005 19:45,seattle,wa,us,NA,180,3 minutes,Strange electrical problems that coresponded the 3/12 fireball over Pacific Northwest......,4/16/2005,47.6063889,-122.3308333
3/13/1995 18:30,seattle,wa,us,NA,300,5 min.,Man witnessed yellow&#44 flickering light to west&#44 viewed from Queen Anne Hill.  Approached him&#44 then departed.,11/2/1999,47.6063889,-122.3308333
3/13/1997 13:30,seattle,wa,us,sphere,20,15-20 seconds,SEATTLE sighting. During daytime same day of the phoenix lights,7/16/2003,47.6063889,-122.3308333
3/13/1998 21:50,seattle,wa,us,sphere,240,3 - 4 minutes,We watched approximately 15 dimly lit white spheres that pulsed brightly together in different colors while slowly rising towards the s,1/28/1999,47.6063889,-122.3308333
3/13/2000 11:51,seattle,wa,us,diamond,120,2min,I saw a diamond shape craft moveing very fast and make a turn in the sky and start to pick up speed towads vancover B.C.,4/1/2001,47.6063889,-122.3308333
3/13/2001 23:50,seattle,wa,us,cigar,10,10 seconds,23:50 on 3/13/01&#44 an object with orange lights flew at remarkable speed&#44 silently&#44 from south to north over Puget Sound.,3/16/2001,47.6063889,-122.3308333
3/13/2001 23:51,seattle,wa,us,light,10,10seconds,I saw a very fast moving light heading due north along Puget Sound at approximately 11:30 PM March 13 2001.,3/16/2001,47.6063889,-122.3308333
3/13/2014 03:30,seattle,wa,us,fireball,10,10 seconds,Blue fireball in night sky.,3/18/2014,47.6063889,-122.3308333
3/14/1995 21:07,seattle,wa,us,NA,10,10 sec.,Man reports a bright blue obj. that streaked to north below the overcast.  Very bright&#44 very fast.,11/2/1999,47.6063889,-122.3308333
3/14/1995 21:08,seattle,wa,us,NA,2,2 sec.,Man &amp; son witness blue-green ball streak S to N in eastern sky.  Son frightened by observation.,11/2/1999,47.6063889,-122.3308333
3/14/1995 21:08,seattle,wa,us,NA,2,2 sec.,Man witnessed bright&#44 blue-green light streak S to N in eastern sky.  Bigger than star. Very fast.,11/2/1999,47.6063889,-122.3308333
3/16/1998 13:30,seattle,wa,us,sphere,5,5 seconds,Commercial Airline Flight From Juneau AK to Seattle,4/2/1999,47.6063889,-122.3308333
3/18/2011 05:00,seattle,wa,us,disk,120,1-2 minutes,Thin white or gray line&#44 like side of disc&#44 with two lights in the middle moving across the early morning sky.,4/3/2011,47.6063889,-122.3308333
3/18/2012 20:45,seattle,wa,us,fireball,120,2 minutes,Red/orange ball of fire&#44 noiseless and moving steadily for two minutes&#44 south to north in seattle.,5/13/2012,47.6063889,-122.3308333
3/19/2006 23:20,seattle,wa,us,circle,3,2-3 seconds,A very solid brilliant white opaque ball crosses sky&#44 2-3 seconds. Heading SSE over Seattle Sun. night.,5/15/2006,47.6063889,-122.3308333
3/20/1996 21:00,seattle,wa,us,NA,300,5 min.,Young woman &amp; 2 friends witness 3 lights overhead&#44 arranged in a triangular pattern.  Suddenly&#44 a 4th light appears.  Not aircraft.,11/2/1999,47.6063889,-122.3308333
3/20/2009 21:00,seattle,wa,us,formation,7200,2 hours,Formation activity over Seattle&#44 persistant strange lights.,4/14/2009,47.6063889,-122.3308333
3/2/2012 23:30,seattle,wa,us,light,120,2 minutes,Two asterisk shaped yellow lights floating around above Lake Union in Seattle,3/13/2012,47.6063889,-122.3308333
3/2/2013 22:17,seattle,wa,us,fireball,300,3-5 minutes,Orange fireballs.,4/12/2013,47.6063889,-122.3308333
3/22/2011 17:45,seattle,wa,us,circle,300,5 mins,A starng white circle with a black inner circle.,10/19/2011,47.6063889,-122.3308333
3/23/2013 22:34,seattle,wa,us,circle,180,3 minutes,7-10 bright orange orbs flying past Space Needle Saturday&#44 March 23 10:33pm.,5/15/2013,47.6063889,-122.3308333
3/25/1995 17:00,seattle,wa,us,NA,1800,30 min.,Woman repts. daylight sighting of bright&#44 silver &quot;helmet-shaped&quot; obj. in E sky.  2nd similar obj. approached it&#44 streaked E&#33,11/2/1999,47.6063889,-122.3308333
3/25/2009 19:00,seattle,wa,us,NA,600,10 minutes,Strange low flying lights over Seward Park in Seattle&#44 Washington on March 25&#44 2009.,4/14/2009,47.6063889,-122.3308333
3/25/2009 22:00,seattle,wa,us,unknown,900,15 min,object moving in a very erratic way&#44 changing colors&#44 very high up,4/14/2009,47.6063889,-122.3308333
3/27/1996 02:15,seattle,wa,us,NA,8,8 sec.,Couple see very bright&#44 white light moving S to N over Puget Sound.  &quot;Cigar&#44 or elongate&quot; in shape.  Suddenly reverses dir.&#44 streaks S.,11/2/1999,47.6063889,-122.3308333
3/27/2007 17:00,seattle,wa,us,egg,20,20 seconds,Two Crafts. One sighting.,3/31/2008,47.6063889,-122.3308333
3/27/2014 01:45,seattle,wa,us,light,420,~7 minutes,White green lights dancing over Crown Hill at 01:45am.,3/27/2014,47.6063889,-122.3308333
3/31/1999 23:45,seattle,wa,us,triangle,60,1minute,Huge triangular craft&#44 white unblinkng light in each apex&#44 center red strobing light that strobed slowly on and then slowly off (lumino,4/26/1999,47.6063889,-122.3308333
3/31/2013 22:00,seattle,wa,us,unknown,50,50 seconds,Red green and golden yellow lights flying over Snoqualmie pass&#44 Seattle WA.,5/15/2013,47.6063889,-122.3308333
3/31/2014 23:15,seattle,wa,us,light,5,5 seconds,I&#39m a college student at the University of Washington. I regularly spend nights on the roof looking at stars. I have taken astronomy.,4/4/2014,47.6063889,-122.3308333
3/3/2008 21:00,seattle,wa,us,light,600,10 minutes,Two yellow lights moving slowly across the sky.,3/31/2008,47.6063889,-122.3308333
3/4/2007 00:00,seattle,wa,us,other,3600,50-60 minutes,Me and my girlfriend fell asleep watching TV around 8:45. I woke up sometime around 12:00 and shook her awake because I remembered that,3/8/2007,47.6063889,-122.3308333
3/6/2007 13:00,seattle,wa,us,sphere,180,3 minutes,I went outside my house&#44 sat in a chair&#44 facing north. I lit my cigarette&#44 then looked up to find four white balls that I could not ide,4/27/2007,47.6063889,-122.3308333
3/7/1997 22:50,seattle,wa,us,flash,1,1 sec,Less than a 1 second flash of large blue-white light&#44 climbing slightly on it&#39s path from west to east. .,3/7/1998,47.6063889,-122.3308333
3/8/2004 13:00,seattle,wa,us,cylinder,120,2 minutes,long&#44 narrow cylindrical object hanging horizontally above Seattle for about 2 minutes&#44 then disappearing completely in 4 seconds.,3/9/2004,47.6063889,-122.3308333
3/8/2005 19:00,seattle,wa,us,light,4,3-4 sec,bright &#39star&#39 shrinks out of sight,5/11/2005,47.6063889,-122.3308333
3/9/2004 17:45,seattle,wa,us,other,7200,2 hours,A cluster of bright  pulsing  lights over downtown Seattle.  ((NUFORC Note:  Celestial body??  PD)),3/17/2004,47.6063889,-122.3308333
3/9/2013 01:08,seattle,wa,us,fireball,180,3 minutes,White/orange orb seen near Golden Gardens&#44 Seattle,4/12/2013,47.6063889,-122.3308333
4/10/1949 15:00,seattle,wa,us,disk,600,ten minutes,UFO Hovers over Seattle sky,4/27/2004,47.6063889,-122.3308333
4/10/2013 18:00,seattle,wa,us,unknown,900,15 minutes,6 or more objects over Seattle Science Center/Space Needle&#44 irregular movement&#44 disappearing and reappearing,5/15/2013,47.6063889,-122.3308333
4/1/2002 15:00,seattle,wa,us,rectangle,60,one minute,A large rectangular shadow,6/12/2002,47.6063889,-122.3308333
4/13/2008 03:00,seattle,wa,us,oval,60,1 min,Large burnt-orange object hanging low in the sky near Downtown Seattle.,4/17/2008,47.6063889,-122.3308333
4/16/2006 19:40,seattle,wa,us,circle,30,20- 30 seconds,8 orange glowing round objects moving east to west in the same pattern&#44 Seattle&#44 Washington,5/15/2006,47.6063889,-122.3308333
4/20/2014 20:00,seattle,wa,us,light,1200,20 minutes,Small solid white light with sudden movements.,4/24/2014,47.6063889,-122.3308333
4/20/2014 22:50,seattle,wa,us,formation,5,5 seconds,I witnessed two lights in formation moving in a straight line&#44 far faster than any aircraft&#44 and with no sound whatsoever.,4/24/2014,47.6063889,-122.3308333
4/21/2012 12:40,seattle,wa,us,disk,1,1 second,Flying saucer over I-5 in North Seattle.,11/19/2012,47.6063889,-122.3308333
4/22/1995 22:37,seattle,wa,us,NA,4,4 sec.,2 univ. stud. see dramatic &quot;meteor&quot; in S sky&#44 then witness  chevron of lights &quot;like kite&quot; in same area of sky. Zig-zags off&#33,11/2/1999,47.6063889,-122.3308333
4/23/1997 00:05,seattle,wa,us,NA,2,2 sec.,Attorney/public employee sees peculiar white light move across cloudy sky very rapidly.  &quot;Looked like a lightbulb.&quot;  Flew behind cloud.,11/2/1999,47.6063889,-122.3308333
4/24/1987 20:15,seattle,wa,us,changing,1200,20 minutes,Low flying Orange Blimp over Lake Washington (Seattle&#44 Madrona Park Beach),3/10/2011,47.6063889,-122.3308333
4/25/2008 21:30,seattle,wa,us,sphere,5400,1-1.5 hrs,Fast moving lights over Seattle,6/12/2008,47.6063889,-122.3308333
4/25/2008 22:00,seattle,wa,us,light,300,5 minutes,Bright&#44 FAST moving lights above Seattle&#44 visible only using 3rd Generation Night Vision.,6/12/2008,47.6063889,-122.3308333
4/26/2002 15:00,seattle,wa,us,sphere,120,2 minutes,Two silver spheres flying together.,6/12/2002,47.6063889,-122.3308333
4/26/2008 00:23,seattle,wv,NA,triangle,5,5 seconds,Triangular craft speeds across the sky over Seattle&#33&#33,6/12/2008,39.43007,-78.061927
4/26/2008 11:55,seattle,wa,us,light,300,5+ minutes,Bright red orbish light hovering over Seattle bay area&#33,6/12/2008,47.6063889,-122.3308333
4/27/2001 21:55,seattle,wa,us,diamond,600,10mins,8-9 identical hovering&#44 stationary objects with oscillating diamond shaped white light patterns. 70-100 feet above Seattle I-5 corridor,8/5/2001,47.6063889,-122.3308333
4/28/2000 21:00,seattle,wa,us,fireball,2,2 seconds,Fireball flying from SW to NE. Appeared white hot with &quot;chunks&quot; of burning material trailing. Round&#44 very large or very low. Very fast&#44,6/6/2000,47.6063889,-122.3308333
4/28/2000 22:07,seattle,wa,us,light,1.5,1.5 seconds,Bright green object flying fast northbound&#44 north of University of Washington in Seattle,7/23/2000,47.6063889,-122.3308333
4/28/2000 22:10,seattle,wa,us,other,3.4,3.5-4.0sec,on 04/28/00 at roughly 22:10 i looked off my front porch and saw a big round bright light traveling verry fast &#44it made no sound.it was,5/11/2000,47.6063889,-122.3308333
4/29/2002 21:08,seattle,wa,us,light,7,7 seconds,Bright green light descending due east of First Hill in Seattle.  Appeared to be coming down between Bellevue and Issaquah.  It descend,5/14/2002,47.6063889,-122.3308333
4/29/2002 21:50,seattle,wa,us,light,2,2 seconds,BRIGHT GREEN LIGHT &quot;ZIPS&quot; DOWN ACROSS SKY TOWARDS HORIZON Monday&#44 April 2002,5/14/2002,47.6063889,-122.3308333
4/29/2004 23:10,seattle,wa,us,NA,10,10 sec,Was directly overhead&#44 was looking at the moon about 15 degrees to my right. Object travelled from north to south&#44 noticed it at about,5/4/2004,47.6063889,-122.3308333
4/29/2009 20:45,seattle,wa,us,light,2,2 seconds,Bright light ball seen over Ballard extraordinary  speed.,5/12/2009,47.6063889,-122.3308333
4/30/2003 23:41,seattle,wa,us,triangle,180,3 minutes,Large triangular craft seen flying over Lake Washington homes near Seattle.,5/2/2003,47.6063889,-122.3308333
4/30/2004 16:45,seattle,wa,us,cylinder,30,30 seconds,Three Bronze cylinders,5/4/2004,47.6063889,-122.3308333
4/30/2007 21:30,seattle,wa,us,formation,5,5 seconds,Two amber lights were seen snaking from the southwestern sky to the northwestern sky.,6/12/2007,47.6063889,-122.3308333
4/30/2011 23:40,seattle,wa,us,formation,30,30 seconds,V-Shaped Formation of Objects Over Seattle,5/2/2011,47.6063889,-122.3308333
4/3/1997 17:30,seattle,wa,us,other,240,2-4min,I was on highway 520 going home and saw a black&#44 silent &quot;elongated key&quot; shape traveling south over lake WA dissappered (cut into clouds,1/28/1999,47.6063889,-122.3308333
